,Date, Open, High, Low, Close
22,2016-11-29,2200.76,2210.46,2198.15,2204.66
21,2016-11-30,2204.97,2214.1,2198.81,2198.81
20,2016-12-01,2200.17,2202.6,2187.44,2191.08
19,2016-12-02,2191.12,2197.95,2188.37,2191.95
18,2016-12-05,2200.65,2209.42,2199.97,2204.71
17,2016-12-06,2207.26,2212.78,2202.21,2212.23
16,2016-12-07,2210.72,2241.63,2208.93,2241.35
15,2016-12-08,2241.13,2251.69,2237.57,2246.19
14,2016-12-09,2249.73,2259.8,2249.23,2259.53
13,2016-12-12,2258.83,2264.03,2252.37,2256.96
12,2016-12-13,2263.32,2277.53,2263.32,2271.72
11,2016-12-14,2268.35,2276.2,2248.44,2253.28
10,2016-12-15,2253.77,2272.12,2253.77,2262.03
9,2016-12-16,2266.81,2268.05,2254.24,2258.07
8,2016-12-19,2259.24,2267.47,2258.21,2262.53
7,2016-12-20,2266.5,2272.56,2266.14,2270.76
6,2016-12-21,2270.54,2271.23,2265.15,2265.18
5,2016-12-22,2262.93,2263.18,2256.08,2260.96
4,2016-12-23,2260.25,2263.79,2258.84,2263.79
3,2016-12-27,2266.23,2273.82,2266.15,2268.88
2,2016-12-28,2270.23,2271.31,2249.11,2249.92
1,2016-12-29,2249.5,2254.51,2244.56,2249.26
0,2016-12-30,2251.61,2253.58,2233.62,2238.83
